title,year,location,project_id,publication_date
Villa The Lake / Devyni Architektai,2021,"Moletai, Lithuania",992234,2022-11-15T16:00:00.000Z
True Headquarters / LOC Architects,2018,"Seattle, United States",992117,2022-11-15T14:00:00.000Z
Hudson Square Streetscape Master Plan / MNLA,2022,"New York, United States",992178,2022-11-15T12:00:00.000Z
Laxe House / trespes.arquitectos,2021,"La Coruña, Spain",992121,2022-11-15T10:00:00.000Z
Design District Canteen / Selgascano,2021,United Kingdom,992202,2022-11-15T07:00:00.000Z
Stone House / Taller Gabriela Carrillo,2020,"Acapulco de Juárez, Mexico",992181,2022-11-15T06:00:00.000Z
"AD Classics: Study House for Artists / Antonio Bonet, Horacio Vera Barros and Abel López Chas",1938,0,991991,2022-11-15T05:00:00.000Z
Banyan Tree AlUla Resort   / AW2 architecture & interiors,2022,"AlUla, Saudi Arabia",992173,2022-11-15T03:00:00.000Z
The Guard Patrol / Mjölk Architekti,2021,"Rokytnice nad Jizerou, Czech Republic",992196,2022-11-15T02:00:00.000Z
Jeokhoje House / NOMAL,2022,"Seongnam-si, South Korea",992157,2022-11-15T01:00:00.000Z
Ishigaki City Hall / Kengo Kuma & Associates,2021,"Ishigaki, Japan",992152,2022-11-15T00:00:00.000Z
Sumu Yakushima Regenerative Residence / tono Inc.,2022,"Yakushima, Japan",992151,2022-11-14T22:00:00.000Z
Little Manly House / CHROFI,2022,Australia,992162,2022-11-14T20:00:00.000Z
Ogindan Dandan House / SML,2021,"Jongno-gu, South Korea",992156,2022-11-14T18:00:00.000Z
sted Dessert Café / design by 83,2022,"Jung-gu, South Korea",992163,2022-11-14T16:00:00.000Z
Media Agua House Refurbishment / El Sindicato Arquitectura,2022,"Quito, Ecuador",992171,2022-11-14T14:00:00.000Z
Swimming Pool Alice Millat / Atelier PO&PO design architect and agent,2022,"Bourgoin-Jallieu, France",992161,2022-11-14T12:00:00.000Z
Pyrotechnics Museum / Taller de Arquitectura Miguel Montor,2022,"Tultepec, Mexico",992031,2022-11-14T07:00:00.000Z
Nôm Villa / PAK Architects,2022,"Đại Đồng, Vietnam",992086,2022-11-14T06:00:00.000Z
Brujas House / DX Arquitectos,2022,"Las Palmas de Ocoa, Chile",992119,2022-11-14T03:00:00.000Z
